titulo_puesto,empresa,carrera_requerida,provincia,experiencia_requerida,salario_minimo,salario_maximo,fecha_publicacion,sector
Asistente Contable,Pronaca,Contabilidad y Auditoría,Tungurahua,3 años,1042,1239,2025-10-24,Privado
Coordinador Administrativo,Holcim Ecuador,Contabilidad y Auditoría,Tungurahua,2 años,890,1044,2025-10-17,Privado
Ejecutivo de Ventas,Unilever Andina,Marketing,Pichincha,Sin experiencia,712,854,2025-10-26,Privado
Ingeniero Mecánico,Claro Ecuador,Ingeniería Eléctrica,Azuay,2 años,1373,1569,2025-11-24,Privado
Brand Manager,Ministerio de Salud,Marketing,Pichincha,5+ años,1576,1756,2025-09-29,Público
Ingeniero Mecánico,Universidad San Francisco,Ingeniería Industrial,El Oro,Sin experiencia,775,862,2025-11-15,Privado
Gerente de Marketing,CNT,Marketing,El Oro,2 años,1062,1316,2025-09-29,Público
Gerente General,Ministerio de Educación,Contabilidad y Auditoría,Pichincha,4 años,1404,1766,2025-10-07,Público
Ingeniero Civil,Corporación GPF,Ingeniería Industrial,Tungurahua,3 años,1420,1694,2025-11-16,Privado
Analista de Recursos Humanos,OCP Ecuador,Administración de Empresas,Pichincha,3 años,1211,1574,2025-11-07,Privado
Ingeniero de Calidad,Halliburton,Ingeniería Eléctrica,Tungurahua,3 años,1408,1822,2025-11-28,Privado
Auxiliar de Enfermería,La Fabril,Medicina,El Oro,1 año,1505,1694,2025-11-16,Privado
Diseñador Gráfico,Consorcio Nobis,Comunicación Social,Manabí,1 año,750,955,2025-09-22,Privado
Ingeniero Industrial,Produbanco,Ingeniería Eléctrica,Guayas,3 años,1435,1846,2025-10-05,Privado
Gerente General,Diners Club,Contabilidad y Auditoría,Pichincha,3 años,1064,1305,2025-11-16,Privado
Diseñador Gráfico,Produbanco,Marketing,Tungurahua,4 años,1369,1643,2025-09-28,Privado
Analista de E-commerce,Corporación El Rosado,Comunicación Social,Guayas,4 años,1238,1540,2025-11-23,Privado
Analista de Recursos Humanos,Pronaca,Contabilidad y Auditoría,Pichincha,2 años,879,1133,2025-11-19,Privado
Ejecutivo de Ventas,Halliburton,Marketing,Tungurahua,2 años,1048,1257,2025-11-26,Privado
Ingeniero Ambiental,Produbanco,Ingeniería Eléctrica,Manabí,3 años,1461,1843,2025-10-28,Privado
Brand Manager,Holcim Ecuador,Marketing,El Oro,2 años,930,1104,2025-11-07,Privado
Ingeniero Eléctrico,Hospital Metropolitano,Ingeniería Industrial,Tungurahua,3 años,1300,1653,2025-10-17,Privado
Asistente Contable,Consorcio Nobis,Contabilidad y Auditoría,Azuay,3 años,1123,1259,2025-10-07,Privado
Ingeniero Mecánico,Movistar Ecuador,Ingeniería Industrial,Manabí,4 años,1519,1700,2025-10-14,Privado
Farmacéutico/a,Halliburton,Enfermería,Guayas,1 año,764,978,2025-10-18,Privado
Especialista en SEO,Ministerio de Salud,Comunicación Social,Guayas,1 año,749,901,2025-11-09,Público
Brand Manager,Corporación Favorita,Marketing,Pichincha,Sin experiencia,740,888,2025-10-07,Privado
Técnico Industrial,Fybeca,Ingeniería Civil,Pichincha,2 años,1201,1439,2025-11-29,Privado
Ingeniero Ambiental,Banco Pichincha,Ingeniería Industrial,Pichincha,Sin experiencia,788,1005,2025-10-23,Privado
Nutricionista,Pronaca,Enfermería,Manabí,2 años,764,926,2025-10-23,Privado
Ingeniero Ambiental,Holcim Ecuador,Ingeniería Eléctrica,Manabí,2 años,1321,1655,2025-10-12,Privado
Analista de E-commerce,Unilever Andina,Comunicación Social,Guayas,1 año,821,967,2025-10-20,Privado
Supervisor de Obra,Corporación El Rosado,Ingeniería Eléctrica,Guayas,2 años,1347,1589,2025-09-12,Privado
Desarrollador Full Stack,Consorcio Nobis,Ingeniería en Sistemas,El Oro,Sin experiencia,927,1107,2025-11-04,Privado
Analista de Recursos Humanos,Grupo Wright,Administración de Empresas,Guayas,Sin experiencia,695,849,2025-09-27,Privado
Farmacéutico/a,Produbanco,Enfermería,Tungurahua,3 años,947,1198,2025-11-14,Privado
Técnico Industrial,Produbanco,Ingeniería Industrial,Manabí,1 año,1063,1247,2025-12-02,Privado
Tecnólogo Médico,Produbanco,Medicina,El Oro,Sin experiencia,1289,1580,2025-11-22,Privado
Ingeniero Ambiental,Ministerio de Educación,Ingeniería Industrial,El Oro,2 años,1092,1306,2025-11-13,Público
Content Manager,Corporación El Rosado,Comunicación Social,El Oro,3 años,995,1208,2025-12-05,Privado
Fisioterapeuta,Corporación Favorita,Medicina,Manabí,1 año,1444,1632,2025-12-04,Privado
Ingeniero de Calidad,Grupo Wright,Ingeniería Civil,Tungurahua,2 años,1431,1823,2025-09-14,Privado
Gerente General,IESS,Administración de Empresas,Tungurahua,Sin experiencia,694,855,2025-11-13,Público
Nutricionista,EP Petroecuador,Enfermería,Manabí,Sin experiencia,606,708,2025-10-22,Privado
Analista de E-commerce,Industrias Ales,Marketing,Guayas,2 años,1113,1286,2025-10-15,Privado
Ingeniero Ambiental,Diners Club,Ingeniería Civil,El Oro,2 años,1242,1541,2025-10-17,Privado
Supervisor de Obra,Movistar Ecuador,Ingeniería Industrial,Azuay,2 años,1109,1369,2025-10-25,Privado
Nutricionista,Corporación El Rosado,Enfermería,Azuay,3 años,890,1149,2025-09-17,Privado
Coordinador Administrativo,Claro Ecuador,Contabilidad y Auditoría,El Oro,5+ años,1593,1816,2025-11-14,Privado
Coordinador de Publicidad,Movistar Ecuador,Marketing,Guayas,2 años,940,1173,2025-10-07,Privado
Ingeniero Civil,Almacenes Juan Eljuri,Ingeniería Civil,Guayas,1 año,1130,1254,2025-10-29,Privado
Coordinador Administrativo,Nestlé Ecuador,Contabilidad y Auditoría,El Oro,3 años,1180,1299,2025-11-16,Privado
Asistente Contable,Industrias Ales,Administración de Empresas,Manabí,1 año,927,1159,2025-10-13,Privado
Analista Financiero,Cervecería Nacional,Contabilidad y Auditoría,Pichincha,2 años,989,1133,2025-09-11,Privado
Asistente Contable,EP Petroecuador,Administración de Empresas,Pichincha,Sin experiencia,791,932,2025-11-09,Privado
Analista Financiero,Pronaca,Administración de Empresas,Pichincha,Sin experiencia,690,842,2025-10-19,Privado
Brand Manager,Almacenes Juan Eljuri,Marketing,Manabí,5+ años,1832,2064,2025-11-10,Privado
Ingeniero Ambiental,Ministerio de Salud,Ingeniería Industrial,Pichincha,3 años,1352,1684,2025-11-28,Público
Diseñador Gráfico,Banco Pichincha,Marketing,El Oro,3 años,1151,1334,2025-12-02,Privado
Ingeniero Industrial,Schlumberger,Ingeniería Civil,Manabí,2 años,1324,1479,2025-12-01,Privado
Odontólogo/a,Consorcio Nobis,Medicina,Manabí,1 año,1447,1663,2025-10-10,Privado
Fisioterapeuta,ARCA Continental,Enfermería,Azuay,1 año,763,885,2025-11-19,Privado
Especialista en Ciberseguridad,Corporación GPF,Ingeniería en Sistemas,El Oro,1 año,1136,1401,2025-11-05,Privado
Diseñador Gráfico,Schlumberger,Marketing,El Oro,2 años,1020,1304,2025-12-06,Privado
Analista de Marketing Digital,Diners Club,Marketing,Azuay,3 años,1217,1392,2025-09-24,Privado
Ingeniero Industrial,La Fabril,Ingeniería Industrial,El Oro,3 años,1536,1804,2025-12-05,Privado
Jefe de Mantenimiento,IESS,Ingeniería Eléctrica,Guayas,1 año,1139,1388,2025-09-17,Público
Jefe de Mantenimiento,Almacenes Juan Eljuri,Ingeniería Eléctrica,El Oro,5+ años,2139,2745,2025-09-21,Privado
Analista de Business Intelligence,Grupo Wright,Ingeniería en Sistemas,Guayas,3 años,1704,1925,2025-10-18,Privado
Jefe de Mantenimiento,Unilever Andina,Ingeniería Eléctrica,El Oro,2 años,1242,1511,2025-09-18,Privado
Jefe de Mantenimiento,Cervecería Nacional,Ingeniería Eléctrica,Manabí,2 años,1222,1445,2025-11-18,Privado
Analista de Business Intelligence,La Fabril,Ingeniería en Sistemas,El Oro,2 años,1528,1901,2025-10-27,Privado
Community Manager,IESS,Marketing,Tungurahua,1 año,777,920,2025-12-05,Público
Médico Especialista,Cervecería Nacional,Medicina,Pichincha,1 año,1645,1964,2025-10-13,Privado
Odontólogo/a,Consorcio Nobis,Enfermería,El Oro,3 años,1073,1318,2025-10-30,Privado
Asistente Contable,ARCA Continental,Contabilidad y Auditoría,Manabí,Sin experiencia,624,771,2025-11-30,Privado
Ingeniero Industrial,Fybeca,Ingeniería Eléctrica,Pichincha,Sin experiencia,823,993,2025-11-13,Privado
Auditor,Banco Pichincha,Administración de Empresas,Pichincha,Sin experiencia,788,939,2025-11-15,Privado
Médico Especialista,Repsol Ecuador,Enfermería,Guayas,Sin experiencia,531,620,2025-10-12,Privado
Ingeniero Mecánico,Pronaca,Ingeniería Civil,El Oro,4 años,1731,2169,2025-09-09,Privado
Ingeniero Eléctrico,Holcim Ecuador,Ingeniería Civil,Pichincha,3 años,1568,1864,2025-12-02,Privado
Administrador de Sistemas,Pronaca,Ingeniería en Sistemas,Manabí,2 años,1422,1717,2025-09-14,Privado
Gerente General,Diners Club,Administración de Empresas,Guayas,Sin experiencia,765,953,2025-10-17,Privado
Analista de E-commerce,Universidad San Francisco,Comunicación Social,Guayas,2 años,864,975,2025-11-30,Privado
Ingeniero Eléctrico,Halliburton,Ingeniería Eléctrica,Azuay,2 años,1260,1526,2025-11-21,Privado
Asistente Contable,Moderna Alimentos,Administración de Empresas,Pichincha,1 año,985,1268,2025-12-01,Privado
Médico Especialista,Universidad San Francisco,Enfermería,El Oro,2 años,825,932,2025-10-25,Privado
Gerente General,Industrias Ales,Administración de Empresas,Guayas,1 año,962,1116,2025-12-06,Privado
Coordinador Administrativo,Cervecería Nacional,Administración de Empresas,Tungurahua,2 años,1061,1255,2025-11-13,Privado
Asistente Contable,SRI,Administración de Empresas,Azuay,2 años,1015,1247,2025-11-03,Público
Gerente de Operaciones,Ministerio de Salud,Contabilidad y Auditoría,Pichincha,Sin experiencia,610,753,2025-11-23,Público
Analista de Datos,Ministerio de Salud,Ingeniería en Sistemas,Tungurahua,1 año,1253,1518,2025-11-07,Público
Supervisor de Obra,Produbanco,Ingeniería Civil,Pichincha,2 años,1243,1414,2025-09-22,Privado
Ingeniero Eléctrico,IESS,Ingeniería Industrial,Manabí,2 años,1299,1572,2025-10-13,Público
Auxiliar de Enfermería,Fybeca,Enfermería,Azuay,4 años,1066,1281,2025-11-09,Privado
Ingeniero Mecánico,Industrias Ales,Ingeniería Industrial,Azuay,3 años,1516,1779,2025-10-29,Privado
Scrum Master,Ministerio de Educación,Ingeniería en Sistemas,El Oro,1 año,1115,1284,2025-11-20,Público
Content Manager,Diners Club,Comunicación Social,Guayas,Sin experiencia,563,645,2025-11-18,Privado
Jefe de Mantenimiento,Hospital Metropolitano,Ingeniería Civil,Azuay,2 años,1389,1663,2025-11-28,Privado
Jefe de Mantenimiento,CNT,Ingeniería Industrial,El Oro,Sin experiencia,847,960,2025-11-15,Público
Ingeniero Industrial,Cervecería Nacional,Ingeniería Industrial,Tungurahua,2 años,1088,1381,2025-12-01,Privado
Desarrollador Full Stack,Halliburton,Ingeniería en Sistemas,Guayas,4 años,2051,2351,2025-12-06,Privado
Asistente Administrativo,IESS,Administración de Empresas,Tungurahua,2 años,1070,1189,2025-11-27,Público
Brand Manager,Moderna Alimentos,Comunicación Social,Pichincha,1 año,675,816,2025-09-08,Privado
Analista de Business Intelligence,Movistar Ecuador,Ingeniería en Sistemas,Tungurahua,2 años,1577,1740,2025-12-05,Privado
Odontólogo/a,Nestlé Ecuador,Enfermería,Pichincha,2 años,844,969,2025-11-25,Privado
Ingeniero Ambiental,Fybeca,Ingeniería Eléctrica,Azuay,2 años,1397,1558,2025-10-28,Privado
Técnico Industrial,SRI,Ingeniería Industrial,El Oro,4 años,1512,1870,2025-09-17,Público
Analista de Datos,Schlumberger,Ingeniería en Sistemas,Manabí,1 año,1170,1398,2025-11-27,Privado
Ingeniero de Software,OCP Ecuador,Ingeniería en Sistemas,Manabí,5+ años,2565,3152,2025-10-19,Privado
Analista de Marketing Digital,Almacenes Juan Eljuri,Comunicación Social,Pichincha,4 años,1135,1453,2025-12-04,Privado
Brand Manager,Movistar Ecuador,Comunicación Social,Pichincha,1 año,813,1005,2025-10-12,Privado
Técnico Industrial,Pronaca,Ingeniería Eléctrica,Guayas,Sin experiencia,955,1110,2025-10-03,Privado
Diseñador Gráfico,Schlumberger,Comunicación Social,Pichincha,Sin experiencia,575,697,2025-11-18,Privado
Médico Especialista,Hospital Metropolitano,Enfermería,Manabí,Sin experiencia,588,663,2025-12-04,Privado
Médico Especialista,Fybeca,Medicina,Pichincha,Sin experiencia,1103,1264,2025-09-16,Privado
Analista de Recursos Humanos,Schlumberger,Contabilidad y Auditoría,Azuay,3 años,1014,1170,2025-11-03,Privado
Ingeniero Eléctrico,Fybeca,Ingeniería Industrial,Tungurahua,Sin experiencia,870,1032,2025-12-03,Privado
Content Manager,OCP Ecuador,Comunicación Social,Tungurahua,1 año,719,826,2025-09-16,Privado
Psicólogo Clínico,Corporación El Rosado,Medicina,Manabí,3 años,2188,2684,2025-10-26,Privado
Jefe de Recursos Humanos,Nestlé Ecuador,Contabilidad y Auditoría,Pichincha,Sin experiencia,576,669,2025-10-23,Privado
Analista de Marketing Digital,Consorcio Nobis,Marketing,Pichincha,3 años,1115,1326,2025-11-17,Privado
Ingeniero de Calidad,Nestlé Ecuador,Ingeniería Eléctrica,Pichincha,1 año,1009,1221,2025-11-22,Privado
Especialista en SEO,Repsol Ecuador,Comunicación Social,Pichincha,Sin experiencia,575,677,2025-09-17,Privado
Ingeniero Eléctrico,Almacenes Juan Eljuri,Ingeniería Eléctrica,Guayas,3 años,1597,1810,2025-10-11,Privado
Gerente de Marketing,Moderna Alimentos,Marketing,Guayas,2 años,930,1103,2025-10-30,Privado
Brand Manager,Holcim Ecuador,Marketing,Azuay,4 años,1292,1484,2025-11-26,Privado
Técnico Industrial,Ministerio de Salud,Ingeniería Industrial,Manabí,3 años,1289,1496,2025-10-27,Público
Analista de Recursos Humanos,Repsol Ecuador,Contabilidad y Auditoría,Azuay,3 años,1106,1311,2025-11-29,Privado
Diseñador Gráfico,Produbanco,Comunicación Social,Azuay,1 año,765,947,2025-11-07,Privado
Contador,Schlumberger,Contabilidad y Auditoría,Azuay,1 año,766,949,2025-11-08,Privado
Ejecutivo de Ventas,Universidad San Francisco,Comunicación Social,Manabí,3 años,1003,1260,2025-10-23,Privado
Farmacéutico/a,Ministerio de Salud,Medicina,Tungurahua,3 años,2308,2621,2025-11-16,Público
DevOps Engineer,IESS,Ingeniería en Sistemas,Manabí,5+ años,2542,3218,2025-09-15,Público
Auxiliar de Enfermería,Consorcio Nobis,Enfermería,El Oro,2 años,806,927,2025-09-26,Privado
Tecnólogo Médico,Holcim Ecuador,Enfermería,Manabí,1 año,768,918,2025-10-28,Privado
Ingeniero de Proyectos,Halliburton,Ingeniería Eléctrica,Tungurahua,3 años,1397,1807,2025-12-05,Privado
Técnico Industrial,OCP Ecuador,Ingeniería Eléctrica,Pichincha,1 año,1159,1427,2025-10-22,Privado
Analista de Recursos Humanos,Pronaca,Administración de Empresas,Tungurahua,4 años,1579,1950,2025-10-28,Privado
Asistente Contable,Nestlé Ecuador,Contabilidad y Auditoría,Pichincha,4 años,1177,1346,2025-11-12,Privado
Técnico Industrial,Ministerio de Educación,Ingeniería Eléctrica,Manabí,2 años,1286,1533,2025-12-02,Público
Coordinador de Publicidad,Corporación El Rosado,Comunicación Social,Azuay,3 años,1154,1380,2025-10-14,Privado
Enfermero/a,Unilever Andina,Enfermería,El Oro,3 años,909,1056,2025-11-04,Privado
Ingeniero de Proyectos,Industrias Ales,Ingeniería Civil,Azuay,Sin experiencia,875,1039,2025-12-05,Privado
Supervisor de Obra,Holcim Ecuador,Ingeniería Industrial,Azuay,4 años,1454,1806,2025-09-09,Privado
Gerente de Operaciones,CNT,Contabilidad y Auditoría,El Oro,2 años,910,1032,2025-09-27,Público
Gerente General,Tecnipak,Contabilidad y Auditoría,Manabí,3 años,1059,1250,2025-09-30,Privado
Asistente Contable,Schlumberger,Administración de Empresas,Pichincha,1 año,942,1202,2025-11-03,Privado
Content Manager,Repsol Ecuador,Comunicación Social,Pichincha,4 años,1249,1425,2025-12-06,Privado
Farmacéutico/a,Nestlé Ecuador,Medicina,Tungurahua,1 año,1406,1638,2025-11-04,Privado
Psicólogo Clínico,Moderna Alimentos,Medicina,Tungurahua,Sin experiencia,1311,1524,2025-10-26,Privado
Content Manager,Unilever Andina,Comunicación Social,Azuay,4 años,1164,1386,2025-09-29,Privado
Analista de E-commerce,OCP Ecuador,Marketing,El Oro,Sin experiencia,630,707,2025-10-16,Privado
Odontólogo/a,Corporación GPF,Medicina,El Oro,1 año,1392,1639,2025-11-22,Privado
Analista de Recursos Humanos,Repsol Ecuador,Administración de Empresas,Manabí,5+ años,1686,2068,2025-12-04,Privado
Gerente General,CNT,Administración de Empresas,Manabí,5+ años,1723,1959,2025-11-03,Público
Community Manager,Fybeca,Comunicación Social,Pichincha,2 años,897,1021,2025-10-26,Privado
Ingeniero de Proyectos,Moderna Alimentos,Ingeniería Eléctrica,Manabí,2 años,1368,1618,2025-11-02,Privado
Ingeniero Industrial,OCP Ecuador,Ingeniería Industrial,Tungurahua,2 años,1087,1361,2025-10-14,Privado
Especialista en Ciberseguridad,Ministerio de Educación,Ingeniería en Sistemas,Tungurahua,1 año,1149,1443,2025-11-18,Público
Ingeniero de Proyectos,Grupo Wright,Ingeniería Industrial,Pichincha,1 año,1014,1169,2025-11-15,Privado
Gerente General,Pronaca,Contabilidad y Auditoría,El Oro,3 años,1106,1264,2025-10-31,Privado
Fisioterapeuta,Produbanco,Medicina,Pichincha,3 años,2078,2430,2025-09-18,Privado
Ingeniero Mecánico,SRI,Ingeniería Industrial,Guayas,3 años,1486,1809,2025-10-21,Público
Content Manager,CNT,Comunicación Social,Tungurahua,3 años,974,1111,2025-10-03,Público
Scrum Master,Fybeca,Ingeniería en Sistemas,Tungurahua,Sin experiencia,917,1107,2025-10-18,Privado
Gerente de Marketing,Movistar Ecuador,Marketing,Tungurahua,2 años,1119,1382,2025-09-19,Privado
Asistente Contable,Cervecería Nacional,Administración de Empresas,Azuay,Sin experiencia,772,868,2025-09-23,Privado
Ingeniero Industrial,Universidad San Francisco,Ingeniería Civil,Guayas,2 años,1389,1715,2025-11-08,Privado
Analista de Recursos Humanos,Movistar Ecuador,Administración de Empresas,El Oro,2 años,1061,1263,2025-11-27,Privado
Tecnólogo Médico,Grupo Wright,Medicina,El Oro,4 años,2293,2951,2025-10-24,Privado
Jefe de Mantenimiento,Universidad San Francisco,Ingeniería Industrial,Tungurahua,1 año,900,1129,2025-09-18,Privado
Supervisor de Obra,Holcim Ecuador,Ingeniería Industrial,Tungurahua,Sin experiencia,783,1012,2025-10-04,Privado
Ingeniero Ambiental,Universidad San Francisco,Ingeniería Industrial,Azuay,Sin experiencia,774,940,2025-11-18,Privado
Supervisor de Obra,Cervecería Nacional,Ingeniería Industrial,Pichincha,3 años,1287,1617,2025-11-04,Privado
Analista de Datos,CNT,Ingeniería en Sistemas,Manabí,2 años,1427,1852,2025-10-31,Público
Ingeniero Industrial,Produbanco,Ingeniería Civil,Guayas,Sin experiencia,945,1205,2025-09-18,Privado
Analista Financiero,OCP Ecuador,Contabilidad y Auditoría,Azuay,Sin experiencia,661,812,2025-09-13,Privado
Psicólogo Clínico,Ministerio de Educación,Enfermería,Manabí,3 años,1010,1253,2025-09-07,Público
Jefe de Mantenimiento,Holcim Ecuador,Ingeniería Civil,Guayas,Sin experiencia,896,1078,2025-11-02,Privado
Desarrollador Full Stack,Hospital Metropolitano,Ingeniería en Sistemas,Pichincha,3 años,1844,2184,2025-09-23,Privado
Ingeniero Mecánico,Ministerio de Educación,Ingeniería Industrial,Manabí,3 años,1285,1620,2025-09-20,Público
Jefe de Recursos Humanos,Produbanco,Contabilidad y Auditoría,Guayas,Sin experiencia,624,787,2025-09-24,Privado
Gerente de Operaciones,Almacenes Juan Eljuri,Administración de Empresas,Tungurahua,Sin experiencia,649,798,2025-11-02,Privado
Auditor,Corporación El Rosado,Contabilidad y Auditoría,Manabí,5+ años,1637,1945,2025-10-04,Privado
Enfermero/a,Consorcio Nobis,Medicina,Pichincha,1 año,1526,1795,2025-10-31,Privado
Contador,SRI,Contabilidad y Auditoría,Azuay,1 año,823,946,2025-11-22,Público
Analista de E-commerce,Diners Club,Comunicación Social,El Oro,3 años,950,1205,2025-10-15,Privado
Ingeniero de Proyectos,Grupo Wright,Ingeniería Civil,Guayas,4 años,1847,2140,2025-09-13,Privado
Jefe de Mantenimiento,Repsol Ecuador,Ingeniería Civil,Pichincha,5+ años,2086,2560,2025-09-16,Privado
Ingeniero Civil,Corporación GPF,Ingeniería Eléctrica,Azuay,3 años,1426,1814,2025-11-18,Privado
Nutricionista,EP Petroecuador,Enfermería,Manabí,1 año,763,956,2025-09-09,Privado
